Task,Description,Success Rate (%),Future Video PSNR (dB)
libero_object_1818,pick up the alphabet soup and place it in the basket add 10,100.00,27.7553
libero_object_1839,pick up the alphabet soup and place it in the basket level1 sample1,100.00,27.5022
libero_object_1847,pick up the alphabet soup and place it in the basket level3 sample1,100.00,25.6006
libero_object_1855,pick up the alphabet soup and place it in the basket level5 sample1,0.00,26.8576
libero_object_2037,pick up the milk and place it in the basket add 10,100.00,28.6050
libero_object_2062,pick up the milk and place it in the basket level1 sample1,0.00,26.3376
libero_object_2070,pick up the milk and place it in the basket level3 sample1,0.00,25.0243
libero_object_2078,pick up the milk and place it in the basket level5 sample1,0.00,24.6658
libero_object_2131,pick up the salad dressing and place it in the basket add 10,100.00,27.3470
libero_object_2156,pick up the salad dressing and place it in the basket level1 sample1,100.00,27.0662
libero_object_2163,pick up the salad dressing and place it in the basket level3 sample1,100.00,26.5953
libero_object_2169,pick up the salad dressing and place it in the basket level5 sample1,100.00,25.1122
libero_object_2174,pick up the tomato sauce and place it in the basket add 10,100.00,27.4268
libero_object_2203,pick up the tomato sauce and place it in the basket level1 sample1,100.00,27.3034
libero_object_2211,pick up the tomato sauce and place it in the basket level3 sample1,0.00,25.0578
libero_object_2217,pick up the tomato sauce and place it in the basket level5 sample1,0.00,24.1052
